ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Temperature,15212,Temperature,int,R--,20,,C,-40,140,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Temperature Measurement Mode,47489,Temperature Measurement Mode,enum,R--,156,Intake,,,,,Intake,Intake|Exhaust|NA,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Fan Health 1,21502,Fan Health 1,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Fan Health 2,21503,Fan Health 2,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Fan Health 3,21504,Fan Health 3,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/1/Fan Health 4,21505,Fan Health 4,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Present,15240,Present,enum,R--,17,OK,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Status,47496,Status,enum,R--,17,OK,,,,,NA,NA|OK|Warning|Error,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Type,15216,Type,string,R--,PSU - NPU0500-B,,,,,,,,64,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Version,15218,Version,string,R--,1.1.1,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Power,15850,Power,enum,R--,17,OK,,,,,NA,NA|OK|Error,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Operation Mode,47492,Operation Mode,enum,R--,154,Controlled,,,,,Standalone,Standalone|Controlled|NA,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Fan Speed,15219,Fan Speed,uint,R--,10,,%,0,100,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Temperature,15220,Temperature,int,R--,19,,C,-40,140,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Temperature Measurement Mode,47491,Temperature Measurement Mode,enum,R--,156,Intake,,,,,Intake,Intake|Exhaust|NA,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Fan Health 1,21506,Fan Health 1,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Fan Health 2,21507,Fan Health 2,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Fan Health 3,21508,Fan Health 3,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/2/Fan Health 4,21509,Fan Health 4,enum,R--,17,OK,,,,,NA,NA|OK|Error|Warning,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/BOARD/Power Consumption,11911,Power Consumption,uint,R--,0,,W,0,250,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/PSU/BOARD/Temperature,15529,Temperature,int,R--,0,,C,-40,140,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/TEMPERATURE/USP,15224,USP,int,R--,0,,C,-40,140,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/TEMPERATURE/ZYNQ,15225,ZYNQ,int,R--,0,,C,-40,140,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Take,19378,Take,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet Configuration,15252,Ethernet Configuration,enum,RW-,1,Manual,,,,,Manual,Manual|DHCP,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Address,15246,Ethernet IP Address,ipaddr,RW-,10.41.40.195,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Mask,15248,Ethernet IP Mask,ipaddr,RW-,255.255.255.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet IP Gateway,15250,Ethernet IP Gateway,ipaddr,RW-,10.41.40.1,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Primary Server,10023,DNS Primary Server,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Secondary Server,10024,DNS Secondary Server,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/DNS Domain,23714,DNS Domain,string,RW-,,,,,,,,,255,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/Ethernet Configuration Status,15253,Ethernet Configuration Status,enum,R--,1,Manual,,,,,DHCP Asking,Manual|DHCP Asking|DHCP Leased,,,,,,
